year,area,concept,hisced,metric,value
2006,AUT,reading_score,low,mean,417.479803121745
2006,AUT,reading_score,low,mean_se,19.9762724031785
2006,AUT,reading_score,medium,mean,488.230695816157
2006,AUT,reading_score,medium,mean_se,4.20846687502187
2006,BEL,math_score,high,mean,546.098733302912
2006,BEL,math_score,high,mean_se,5.95968092195153
2006,BEL,math_score,low,mean,442.836512893528
2006,BEL,math_score,low,mean_se,134.65371640555
2006,BEL,math_score,medium,mean,507.840538014822
2006,BEL,math_score,medium,mean_se,10.4284108791108
2006,BEL,reading_score,high,mean,525.167974344346
2006,BEL,reading_score,high,mean_se,2.97561407327623
2006,BEL,reading_score,low,mean,424.748313628207
2006,BEL,reading_score,low,mean_se,9.3805382852293
2006,BEL,reading_score,medium,mean,491.082084103687
2006,BEL,reading_score,medium,mean_se,3.64162555579745
2006,BGR,math_score,high,mean,452.887791100076
2006,BGR,math_score,high,mean_se,61.8831022614402
2006,BGR,math_score,low,mean,326.755718205465
2006,BGR,math_score,low,mean_se,154.861656884719
2006,BGR,math_score,medium,mean,401.783185616185
2006,BGR,math_score,medium,mean_se,22.06092387216
2006,BGR,reading_score,high,mean,446.358789301005
2006,BGR,reading_score,high,mean_se,8.48108055057959
2006,BGR,reading_score,low,mean,295.173447010697
2006,BGR,reading_score,low,mean_se,15.06815557091
2006,BGR,reading_score,medium,mean,390.01662045263
2006,BGR,reading_score,medium,mean_se,6.0375435044576
2006,CZE,math_score,high,mean,533.091291501794
2006,CZE,math_score,high,mean_se,22.5880054659189
2006,CZE,math_score,low,mean,394.597496302577
2006,CZE,math_score,low,mean_se,180.416937371187
2006,CZE,math_score,medium,mean,504.128275083874
2006,CZE,math_score,medium,mean_se,13.0288613655975
2006,CZE,reading_score,high,mean,498.764284069415
2006,CZE,reading_score,high,mean_se,5.45458917601497
2006,CZE,reading_score,low,mean,381.863571453702
2006,CZE,reading_score,low,mean_se,29.912400462259
2006,CZE,reading_score,medium,mean,480.231130675313
